id,timestamp_utc,tool_name,arguments,result
7a4287de-a10b-4572-920f-b62c62f65262,2026-05-07T20:46:56Z,score_gpt,"{""sentence"": ""WASHINGTON ― In a stinging blow to President Barack Obama, the Senate voted Wednesday to override his veto of a bill to let 9/11 victims sue Saudi Arabia for its alleged role in the terrorist attacks.""}","{""bias_score"": 0.4, ""bias_type"": ""lexical"", ""reasoning"": ""The phrase 'stinging blow' conveys a negative connotation towards President Obama, suggesting bias in the language used.""}"
27a1e112-f89f-437e-af33-917f1f184b0d,2026-05-07T20:46:59Z,score_gpt,"{""sentence"": ""Meanwhile, Haaretz reported that the Republican Jewish Coalition has launched a separate $5 million TV advertising blitz aimed at Jewish voters in swing states.""}","{""bias_score"": 0.0, ""bias_type"": ""none"", ""reasoning"": ""The sentence presents factual information about a political action without judgment or emotive language.""}"
66f1805d-d3da-40a6-9900-4022e4787235,2026-05-07T20:47:02Z,score_gpt,"{""sentence"": ""\""And to be honest with you, I hope he can,\"" he told \""Today.\""""}","{""bias_score"": 0.1, ""bias_type"": ""none"", ""reasoning"": ""The sentence presents a direct quote without evaluative language, showing minimal bias.""}"
d5b5b1ff-4086-4bab-83d7-055a535a9c3b,2026-05-07T20:47:04Z,score_gpt,"{""sentence"": ""“I mean, you cannot just destroy documents when an agency is telling you to turn them over,” Mr. Priebus said on “Fox and Friends.”""}","{""bias_score"": 0.2, ""bias_type"": ""none"", ""reasoning"": ""The sentence presents a direct quote without added commentary or sensational language, indicating minimal bias.""}"
24c99666-a44c-4513-bd5a-19253b7f0bd7,2026-05-07T20:47:06Z,score_gpt,"{""sentence"": ""In July, the group released an ad pushing the same attack line employed by Romney, accusing the president of embarking on a so-called “apology tour” at the expense of American security.""}","{""bias_score"": 0.3, ""bias_type"": ""lexical"", ""reasoning"": ""The phrase 'so-called' implies skepticism towards the accusation, introducing a potentially biased tone against the claim made by Romney.""}"
15db833b-797c-4b20-9312-b3fd30b2cb6a,2026-05-07T20:47:09Z,score_gpt,"{""sentence"": ""He added that Ryan was investigating the matter alongside the Federal Election Commission.""}","{""bias_score"": 0.0, ""bias_type"": ""none"", ""reasoning"": ""The sentence presents factual information without any biased language or slanting.""}"
cfa3c94d-d1db-492a-85c3-c6004625227c,2026-05-07T20:47:11Z,score_gpt,"{""sentence"": ""Cantor was expected to defeat Brat by a wide margin, outraising the college professor $5.4 million to $200,000.""}","{""bias_score"": 0.1, ""bias_type"": ""none"", ""reasoning"": ""The sentence presents factual information about campaign fundraising without evident bias or subjective language.""}"
7c15a5a4-616f-437b-a24c-6f3970fb545d,2026-05-07T20:47:14Z,score_gpt,"{""sentence"": ""She even joked ruefully about moving to New Zealand.""}","{""bias_score"": 0.1, ""bias_type"": ""none"", ""reasoning"": ""The sentence presents a neutral observation without using biased language or promoting a particular viewpoint.""}"
6294f1ed-31a2-4840-a00b-9792ed408f26,2026-05-07T20:47:16Z,score_gpt,"{""sentence"": ""“In recent days, these e-mails have been selectively and inaccurately read out to the media,” said a White House spokesman, Eric Schultz.""}","{""bias_score"": 0.3, ""bias_type"": ""informational"", ""reasoning"": ""The statement reflects a defense from the White House, suggesting an attempt to discredit media interpretations without providing broader context.""}"
dad97670-b681-4a3b-9c48-20526eed98a8,2026-05-07T20:47:17Z,score_gpt,"{""sentence"": ""The White House, meanwhile, said Obama recorded the video on Tuesday, the day Clinton effectively wrapped up the nomination.""}","{""bias_score"": 0.1, ""bias_type"": ""none"", ""reasoning"": ""The sentence presents factual information without loaded language or partisan framing.""}"
